trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.09, 'e': 1.0}",25,0,-141.26861887924935,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.99, 'e': 0.98}",30,13,-211.00267061716346,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 4}",1
3,False,"{'a': 0.9, 'e': 0.9603999999999999}",20,0,-74.24832897152152,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8190000000000001, 'e': 0.9411919999999999}",30,0,-115.54290903483272,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.7461, 'e': 0.9223681599999999}",20,1,-190.25259210835907,"{0: 7, 1: 2, 2: 7, 3: 0, 4: 3}",1
6,False,"{'a': 0.68049, 'e': 0.9039207967999999}",20,0,-52.77525879007048,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.621441, 'e': 0.8858423808639999}",20,0,-94.12262373444378,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5682969000000001, 'e': 0.8681255332467199}",30,0,-171.77032696274537,"{0: 13, 1: 8, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5204672100000001, 'e': 0.8507630225817855}",30,9,-52.31374948777103,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.4774204890000001, 'e': 0.8337477621301498}",25,0,-82.20649390805805,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.4386784401000001, 'e': 0.8170728068875467}",25,0,-73.04255776476026,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.40381059609000003, 'e': 0.8007313507497958}",20,0,-49.61733698554284,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.3724295364810001, 'e': 0.7847167237347998}",20,0,-78.65796847039961,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.34418658283290005, 'e': 0.7690223892601038}",20,0,-81.28316223332874,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.3187679245496101, 'e': 0.7536419414749017}",20,8,-60.19436231777797,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.29589113209464907, 'e': 0.7385691026454038}",20,0,-142.46887160946284,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.27530201888518413, 'e': 0.7237977205924956}",20,0,-94.49264469327998,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.25677181699666574, 'e': 0.7093217661806457}",25,7,-186.02922553942722,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 4}",1
19,False,"{'a': 0.24009463529699918, 'e': 0.6951353308570327}",25,0,-61.95222906780781,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.22508517176729928, 'e': 0.6812326242398921}",20,0,-86.2700103295686,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.21157665459056935, 'e': 0.6676079717550942}",20,8,-19.26763096332529,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.1994189891315124, 'e': 0.6542558123199923}",20,2,-46.79856967023353,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.18847709021836118, 'e': 0.6411706960735924}",30,0,-49.27741183496108,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.17862938119652505, 'e': 0.6283472821521207}",30,0,-60.69291822764771,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.16976644307687255, 'e': 0.6157803365090783}",25,0,-19.71687470611328,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.1617897987691853, 'e': 0.6034647297788966}",35,9,-53.346557816071936,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 0}",1
27,False,"{'a': 0.15461081889226677, 'e': 0.5913954351833187}",25,0,-6.606635715417223,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.1481497370030401, 'e': 0.5795675264796523}",20,0,-82.77524622308562,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.1423347633027361, 'e': 0.5679761759500592}",20,12,-52.32898352175584,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.1371012869724625, 'e': 0.5566166524310581}",30,0,-30.853962077360258,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.13239115827521625, 'e': 0.5454843193824369}",20,16,5.489116154459459,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.12815204244769463, 'e': 0.5345746329947881}",20,0,-34.19883195502743,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.12433683820292515, 'e': 0.5238831403348924}",20,0,-24.389660008803634,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.12090315438263263, 'e': 0.5134054775281945}",20,7,7.745743723642872,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.11781283894436936, 'e': 0.5031373679776306}",30,0,-106.44216491017822,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",1
