trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.09, 'e': 1.0}",20,0,-146.2499607340398,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.99, 'e': 0.98}",20,0,-104.14796567913707,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.9603999999999999}",25,0,-169.67156174516296,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.8190000000000001, 'e': 0.9411919999999999}",30,0,-144.27522139768303,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.7461, 'e': 0.9223681599999999}",30,0,-112.7122942801852,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.68049, 'e': 0.9039207967999999}",20,0,-25.757706741042586,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.621441, 'e': 0.8858423808639999}",20,0,-42.2685321145932,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5682969000000001, 'e': 0.8681255332467199}",20,0,-46.386270976436535,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5204672100000001, 'e': 0.8507630225817855}",25,0,-129.60950553230003,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.4774204890000001, 'e': 0.8337477621301498}",25,0,-85.19171577491284,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.4386784401000001, 'e': 0.8170728068875467}",25,0,-178.64964136292866,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.40381059609000003, 'e': 0.8007313507497958}",20,0,-53.944535737244315,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.3724295364810001, 'e': 0.7847167237347998}",20,0,-156.51532252183014,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.34418658283290005, 'e': 0.7690223892601038}",30,0,-70.27045874060067,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.3187679245496101, 'e': 0.7536419414749017}",20,0,-86.03487292605026,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.29589113209464907, 'e': 0.7385691026454038}",20,0,-70.35615692448647,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.27530201888518413, 'e': 0.7237977205924956}",30,21,9.68158616258803,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.25677181699666574, 'e': 0.7093217661806457}",25,0,-35.3343462511954,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.24009463529699918, 'e': 0.6951353308570327}",25,0,-81.97144988237935,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.22508517176729928, 'e': 0.6812326242398921}",25,0,-24.058842848609164,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.21157665459056935, 'e': 0.6676079717550942}",25,0,-107.38987024324587,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.1994189891315124, 'e': 0.6542558123199923}",25,7,17.931302777465934,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.18847709021836118, 'e': 0.6411706960735924}",20,0,-11.060237700276005,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.17862938119652505, 'e': 0.6283472821521207}",20,0,-59.58471903114152,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.16976644307687255, 'e': 0.6157803365090783}",20,8,-38.53748171811971,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.1617897987691853, 'e': 0.6034647297788966}",25,7,-84.47832959368783,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 1}",1
27,False,"{'a': 0.15461081889226677, 'e': 0.5913954351833187}",20,12,-37.79501024852357,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.1481497370030401, 'e': 0.5795675264796523}",25,0,7.692040333672246,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.1423347633027361, 'e': 0.5679761759500592}",25,8,-26.6557331283196,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.1371012869724625, 'e': 0.5566166524310581}",20,13,-0.07660316498676245,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.13239115827521625, 'e': 0.5454843193824369}",20,16,6.591702603351971,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.12815204244769463, 'e': 0.5345746329947881}",20,7,-48.7346395680519,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.12433683820292515, 'e': 0.5238831403348924}",25,0,-78.42742345473937,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
34,False,"{'a': 0.12090315438263263, 'e': 0.5134054775281945}",25,0,-52.50038619776119,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.11781283894436936, 'e': 0.5031373679776306}",20,0,10.171441856974626,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.11503155504993243, 'e': 0.493074620618078}",25,8,-43.075411951232084,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
