trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-108.79247556407489,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-163.42515752588076,"{0: 9, 1: 3, 2: 12, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-103.57242219352872,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-192.20771664689562,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-61.03098832654993,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-157.6655564382044,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-131.32269135119125,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-154.1689324874397,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-165.2316442259705,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-98.49147438447915,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-109.71768607807248,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-82.19793040611633,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-106.13307789206468,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-26.763661136961478,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,2,-113.22747927684767,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-204.7827116121212,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-128.4024415186885,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-168.9024234159947,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-89.06017507434808,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-123.71686033490712,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': -0.05}",25,0,-111.79791357365816,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': -0.05}",20,0,-114.8900259830489,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': -0.05}",30,0,-185.80540850094553,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': -0.05}",25,0,-144.64481991217704,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': -0.05}",20,0,-72.95661529022213,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': -0.05}",25,0,-115.53000398508473,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': -0.05}",20,0,-49.29760536081136,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': -0.05}",25,0,-157.03119487106937,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': -0.05}",25,0,-115.4486251260859,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': -0.05}",20,0,-55.541274847755176,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
